station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
IND,2020-04-01 14:15,M,M,M,340.00,8.00,M,30.05,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011415Z AUTO 34008KT 10SM OVC011 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:20,M,M,M,360.00,8.00,M,30.05,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011420Z AUTO 36008KT 10SM OVC012 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:25,M,M,M,340.00,8.00,M,30.05,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011425Z AUTO 34008KT 10SM OVC012 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:30,M,M,M,350.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011430Z AUTO 35007KT 10SM OVC012 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:35,M,M,M,340.00,8.00,M,30.05,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011435Z AUTO 34008KT 10SM OVC012 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:40,M,M,M,340.00,7.00,M,30.05,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011440Z AUTO 34007KT 10SM OVC012 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:45,M,M,M,340.00,8.00,M,30.05,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011445Z AUTO 34008KT 10SM OVC012 06/03 A3004 RMK T00600030 MADISHF
IND,2020-04-01 14:50,M,M,M,350.00,8.00,M,30.06,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011450Z AUTO 35008KT 10SM OVC013 06/03 A3005 RMK T00600030 MADISHF
IND,2020-04-01 14:54,43.00,37.90,82.04,10.00,6.00,0.00,30.06,1018.10,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,38.78,KIND 011454Z 01006KT 10SM OVC013 06/03 A3006 RMK AO2 SLP181 T00610033 51017
IND,2020-04-01 14:55,M,M,M,10.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011455Z AUTO 01005KT 10SM OVC013 06/03 A3005 RMK T00600030 MADISHF
IND,2020-04-01 15:00,M,M,M,350.00,4.00,M,30.06,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011500Z AUTO 35004KT 10SM OVC013 06/03 A3005 RMK T00600030 MADISHF
IND,2020-04-01 15:05,M,M,M,330.00,7.00,M,30.06,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011505Z AUTO 33007KT 10SM OVC013 07/03 A3005 RMK T00700030 MADISHF
IND,2020-04-01 15:10,M,M,M,360.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011510Z AUTO 36005KT 10SM OVC013 07/03 A3005 RMK T00700030 MADISHF
IND,2020-04-01 15:15,M,M,M,330.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011515Z AUTO 33005KT 10SM OVC013 07/03 A3005 RMK T00700030 MADISHF
IND,2020-04-01 15:20,M,M,M,330.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011520Z AUTO 33005KT 10SM OVC013 07/03 A3005 RMK T00700030 MADISHF
IND,2020-04-01 15:25,M,M,M,350.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011525Z AUTO 35005KT 10SM OVC014 07/03 A3005 RMK T00700030 MADISHF
IND,2020-04-01 15:30,M,M,M,350.00,7.00,M,30.06,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011530Z AUTO 35007KT 10SM OVC014 07/04 A3005 RMK T00700040 MADISHF
IND,2020-04-01 15:35,M,M,M,350.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011535Z AUTO 35005KT 10SM OVC014 07/04 A3005 RMK T00700040 MADISHF
IND,2020-04-01 15:40,M,M,M,340.00,5.00,M,30.07,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011540Z AUTO 34005KT 10SM OVC016 07/04 A3006 RMK T00700040 MADISHF
IND,2020-04-01 15:45,M,M,M,320.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011545Z AUTO 32005KT 10SM OVC016 07/04 A3005 RMK T00700040 MADISHF
IND,2020-04-01 15:50,M,M,M,340.00,5.00,M,30.07,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011550Z AUTO 34005KT 10SM OVC016 07/04 A3006 RMK T00700040 MADISHF
IND,2020-04-01 15:54,45.00,39.00,79.36,340.00,7.00,0.00,30.07,1018.50,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,40.63,KIND 011554Z 34007KT 10SM OVC015 07/04 A3007 RMK AO2 SLP185 T00720039
IND,2020-04-01 15:55,M,M,M,350.00,7.00,M,30.07,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011555Z AUTO 35007KT 10SM OVC015 07/04 A3006 RMK T00700040 MADISHF
IND,2020-04-01 16:00,M,M,M,350.00,4.00,M,30.07,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011600Z AUTO 35004KT 10SM OVC015 07/04 A3006 RMK T00700040 MADISHF
IND,2020-04-01 16:05,M,M,M,10.00,5.00,M,30.07,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011605Z AUTO 01005KT 10SM OVC016 08/04 A3006 RMK T00800040 MADISHF
IND,2020-04-01 16:10,M,M,M,360.00,5.00,M,30.07,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011610Z AUTO 36005KT 10SM OVC016 08/04 A3006 RMK T00800040 MADISHF
IND,2020-04-01 16:15,M,M,M,330.00,5.00,M,30.07,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011615Z AUTO 33005KT 10SM OVC016 08/04 A3006 RMK T00800040 MADISHF
IND,2020-04-01 16:20,M,M,M,350.00,5.00,M,30.07,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011620Z AUTO 35005KT 10SM OVC016 08/04 A3006 RMK T00800040 MADISHF
IND,2020-04-01 16:25,M,M,M,350.00,5.00,M,30.07,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011625Z AUTO 35005KT 10SM OVC016 08/04 A3006 RMK T00800040 MADISHF
IND,2020-04-01 16:30,M,M,M,360.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011630Z AUTO 36005KT 10SM OVC019 08/04 A3005 RMK T00800040 MADISHF
IND,2020-04-01 16:35,M,M,M,360.00,2.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011635Z AUTO 36002KT 10SM OVC019 08/04 A3005 RMK T00800040 MADISHF
IND,2020-04-01 16:40,M,M,M,300.00,5.00,M,30.07,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011640Z AUTO 30005KT 10SM OVC019 08/04 A3006 RMK T00800040 MADISHF
IND,2020-04-01 16:45,M,M,M,320.00,2.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011645Z AUTO 32002KT 10SM OVC019 08/04 A3005 RMK T00800040 MADISHF
IND,2020-04-01 16:50,M,M,M,0.00,0.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011650Z AUTO 00000KT 10SM OVC019 08/04 A3005 RMK T00800040 MADISHF
IND,2020-04-01 16:54,46.90,39.00,73.85,350.00,6.00,0.00,30.06,1018.30,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,43.48,KIND 011654Z 35006KT 10SM OVC019 08/04 A3006 RMK AO2 SLP183 T00830039
IND,2020-04-01 16:55,M,M,M,360.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011655Z AUTO 36005KT 10SM OVC019 08/04 A3005 RMK T00800040 MADISHF
IND,2020-04-01 17:00,M,M,M,290.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,M,KIND 011700Z AUTO 29005KT 10SM OVC019 08/04 A3005 RMK T00800040 MADISHF
